"Run Diagnostics","診断実行"
"Login and Pay with Amazon Diagnostics","Amazon ログイン & ペイメント の診断"
"Results:","結果"
"
                        
                        Login and Pay with Amazon Diagnostics can be used to help developers troubleshoot your Login and Pay with Amazon integration.
                        <br/>
                        <div style=""clear:both;""></div>
                        
                    ","Amazon ログイン & ペイメント の診断は開発のトラブルシュートに利用することができます。<br/><div style=""clear:both;""></div>"
"
                                
                                Copy/paste results to developer support if requested.
                                
                            ","開発サポートから要求されたこちらの結果を連絡してください。"



                    
